Operon number	Sequence	Start	Stop	Strand	Number of Genes	Genes_1	Genes_2	Genes_3	Genes_4	Genes_5	Genes_6	Genes_7	Genes_8	Genes_9	Genes_10	Genes_11	Genes_12	Genes_13	Genes_14	Genes_15	Genes_16
operon 248	NZ_CP015225.1	1596200	1599327	+	4	TK06_RS06915	TK06_RS06920	TK06_RS06925	TK06_RS06930												
operon 249	NZ_CP015225.1	1599511	1606182	-	4	TK06_RS06935	TK06_RS06940	TK06_RS06945	TK06_RS06950												
operon 250	NZ_CP015225.1	1606270	1608579	-	2	TK06_RS06955	TK06_RS06960														
operon 251	NZ_CP015225.1	1617576	1620087	-	2	TK06_RS06995	TK06_RS07000														
operon 252	NZ_CP015225.1	1626064	1629121	-	4	TK06_RS07020	TK06_RS07025	TK06_RS07030	TK06_RS07035												
operon 253	NZ_CP015225.1	1634368	1638067	+	4	TK06_RS07060	TK06_RS07065	TK06_RS07070	TK06_RS07075												
operon 254	NZ_CP015225.1	1638215	1639474	+	2	TK06_RS07080	TK06_RS07085														
operon 255	NZ_CP015225.1	1639634	1643366	-	2	TK06_RS07090	TK06_RS07095														
operon 256	NZ_CP015225.1	1643699	1651458	-	6	TK06_RS07100	TK06_RS07105	TK06_RS07110	TK06_RS07115	TK06_RS07120	TK06_RS07125										
operon 257	NZ_CP015225.1	1655263	1658560	-	3	TK06_RS07135	TK06_RS07140	TK06_RS07145													
operon 258	NZ_CP015225.1	1665754	1670190	-	3	TK06_RS07155	TK06_RS07160	TK06_RS07165													
operon 259	NZ_CP015225.1	1673078	1675558	-	2	TK06_RS07180	TK06_RS07185														
operon 260	NZ_CP015225.1	1679300	1682658	-	3	TK06_RS07205	TK06_RS07210	TK06_RS07215													
operon 261	NZ_CP015225.1	1682726	1686398	-	4	TK06_RS07220	TK06_RS07225	TK06_RS07230	TK06_RS07235												
operon 262	NZ_CP015225.1	1690418	1692055	-	2	TK06_RS07260	TK06_RS07265														
operon 263	NZ_CP015225.1	1704446	1707139	+	2	TK06_RS07335	TK06_RS07340														
operon 264	NZ_CP015225.1	1707865	1709918	+	2	TK06_RS07350	TK06_RS07355														
operon 265	NZ_CP015225.1	1714633	1719759	-	4	TK06_RS07385	TK06_RS07390	TK06_RS07395	TK06_RS07400												
operon 266	NZ_CP015225.1	1726379	1727276	+	2	TK06_RS07435	TK06_RS07440														
operon 267	NZ_CP015225.1	1738522	1743597	+	5	TK06_RS07485	TK06_RS07490	TK06_RS07495	TK06_RS07500	TK06_RS07505											
operon 268	NZ_CP015225.1	1743712	1753857	-	9	TK06_RS07510	TK06_RS07515	TK06_RS07520	TK06_RS07525	TK06_RS07530	TK06_RS07535	TK06_RS07540	TK06_RS07545	TK06_RS07550							
operon 269	NZ_CP015225.1	1755545	1758126	-	2	TK06_RS07565	TK06_RS07570														
operon 270	NZ_CP015225.1	1758236	1760384	-	2	TK06_RS07575	TK06_RS07580														
operon 271	NZ_CP015225.1	1761328	1763342	-	2	TK06_RS07590	TK06_RS07595														
operon 272	NZ_CP015225.1	1763474	1767515	+	4	TK06_RS07600	TK06_RS07605	TK06_RS07610	TK06_RS07615												
operon 273	NZ_CP015225.1	1772693	1774814	+	2	TK06_RS07640	TK06_RS07645														
operon 274	NZ_CP015225.1	1776602	1779931	-	2	TK06_RS07655	TK06_RS07660														
operon 275	NZ_CP015225.1	1785350	1789609	+	3	TK06_RS07690	TK06_RS07695	TK06_RS07700													
operon 276	NZ_CP015225.1	1791331	1794757	+	3	TK06_RS07710	TK06_RS07715	TK06_RS07720													
operon 277	NZ_CP015225.1	1794801	1797046	+	4	TK06_RS07725	TK06_RS07730	TK06_RS07735	TK06_RS07740												
operon 278	NZ_CP015225.1	1797092	1803386	-	7	TK06_RS07745	TK06_RS07750	TK06_RS07755	TK06_RS07760	TK06_RS07765	TK06_RS07770	TK06_RS07775									
operon 279	NZ_CP015225.1	1810413	1812946	-	3	TK06_RS07810	TK06_RS07815	TK06_RS07820													
operon 280	NZ_CP015225.1	1825739	1836371	+	8	TK06_RS07875	TK06_RS07880	TK06_RS07885	TK06_RS07890	TK06_RS07895	TK06_RS07900	TK06_RS07905	TK06_RS07910								
operon 281	NZ_CP015225.1	1836508	1841652	+	4	TK06_RS07915	TK06_RS07920	TK06_RS07925	TK06_RS07930												
operon 282	NZ_CP015225.1	1850003	1854457	-	3	TK06_RS07960	TK06_RS07965	TK06_RS07970													
operon 283	NZ_CP015225.1	1856807	1861790	+	4	TK06_RS07985	TK06_RS07990	TK06_RS07995	TK06_RS08000												
operon 284	NZ_CP015225.1	1861909	1866512	+	2	TK06_RS08005	TK06_RS08010														
operon 285	NZ_CP015225.1	1868020	1872089	+	5	TK06_RS08025	TK06_RS08030	TK06_RS08035	TK06_RS08040	TK06_RS08045											
operon 286	NZ_CP015225.1	1873878	1875372	-	2	TK06_RS08055	TK06_RS08060														
operon 287	NZ_CP015225.1	1877340	1879707	-	2	TK06_RS08075	TK06_RS08080														
operon 288	NZ_CP015225.1	1883343	1886573	+	4	TK06_RS08095	TK06_RS08100	TK06_RS08105	TK06_RS08110												
operon 289	NZ_CP015225.1	1889880	1893624	+	4	TK06_RS08130	TK06_RS08135	TK06_RS08140	TK06_RS08145												
operon 290	NZ_CP015225.1	1899027	1900709	-	2	TK06_RS08165	TK06_RS08170														
operon 291	NZ_CP015225.1	1901658	1930441	-	5	TK06_RS08180	TK06_RS08185	TK06_RS08190	TK06_RS08195	TK06_RS08200											
operon 292	NZ_CP015225.1	1932613	1935442	-	3	TK06_RS08215	TK06_RS08220	TK06_RS08225													
operon 293	NZ_CP015225.1	1938321	1941959	+	3	TK06_RS08235	TK06_RS08240	TK06_RS08245													
operon 294	NZ_CP015225.1	1944660	1946627	+	2	TK06_RS08255	TK06_RS08260														
operon 295	NZ_CP015225.1	1946724	1949315	-	2	TK06_RS08265	TK06_RS08270														
operon 296	NZ_CP015225.1	1951559	1957344	+	5	TK06_RS08280	TK06_RS08285	TK06_RS08290	TK06_RS08295	TK06_RS08300											
operon 297	NZ_CP015225.1	1959218	1961177	+	2	TK06_RS08315	TK06_RS08320														
operon 298	NZ_CP015225.1	1964569	1968837	+	2	TK06_RS08340	TK06_RS08345														
operon 299	NZ_CP015225.1	1968970	1971969	-	3	TK06_RS08350	TK06_RS08355	TK06_RS08360													
operon 300	NZ_CP015225.1	1980108	1982868	+	3	TK06_RS08405	TK06_RS08410	TK06_RS08415													
operon 301	NZ_CP015225.1	1984203	1986391	+	2	TK06_RS08425	TK06_RS08430														
operon 302	NZ_CP015225.1	1990226	1994230	+	3	TK06_RS08445	TK06_RS08450	TK06_RS08455													
operon 303	NZ_CP015225.1	1994295	1997289	+	3	TK06_RS08460	TK06_RS08465	TK06_RS08470													
operon 304	NZ_CP015225.1	2005535	2007510	+	2	TK06_RS08515	TK06_RS08520														
operon 305	NZ_CP015225.1	2007769	2009389	-	2	TK06_RS08525	TK06_RS08530														
operon 306	NZ_CP015225.1	2011840	2016948	-	5	TK06_RS08545	TK06_RS08550	TK06_RS08555	TK06_RS08560	TK06_RS08565											
operon 307	NZ_CP015225.1	2019973	2024961	-	6	TK06_RS08580	TK06_RS08585	TK06_RS08590	TK06_RS08595	TK06_RS08600	TK06_RS08605										
operon 308	NZ_CP015225.1	2025613	2027663	+	2	TK06_RS08610	TK06_RS08615														
operon 309	NZ_CP015225.1	2029718	2031176	+	2	TK06_RS08630	TK06_RS08635														
operon 310	NZ_CP015225.1	2031186	2033697	-	2	TK06_RS08640	TK06_RS08645														
operon 311	NZ_CP015225.1	2038040	2042070	-	2	TK06_RS08660	TK06_RS08665														
operon 312	NZ_CP015225.1	2042533	2044464	+	2	TK06_RS08670	TK06_RS08675														
operon 313	NZ_CP015225.1	2046985	2047841	-	2	TK06_RS08690	TK06_RS08695														
operon 314	NZ_CP015225.1	2051415	2054579	-	3	TK06_RS08715	TK06_RS08720	TK06_RS08725													
operon 315	NZ_CP015225.1	2054767	2057264	+	2	TK06_RS08730	TK06_RS08735														
operon 316	NZ_CP015225.1	2057416	2061432	+	4	TK06_RS08740	TK06_RS08745	TK06_RS08750	TK06_RS08755												
operon 317	NZ_CP015225.1	2065853	2069529	-	2	TK06_RS08775	TK06_RS08780														
operon 318	NZ_CP015225.1	2069813	2072259	+	2	TK06_RS08785	TK06_RS08790														
operon 319	NZ_CP015225.1	2072616	2075413	+	3	TK06_RS08795	TK06_RS08800	TK06_RS08805													
operon 320	NZ_CP015225.1	2084266	2087091	+	2	TK06_RS08845	TK06_RS08850														
operon 321	NZ_CP015225.1	2088700	2091320	+	3	TK06_RS08860	TK06_RS08865	TK06_RS08870													
operon 322	NZ_CP015225.1	2092495	2096441	-	2	TK06_RS08880	TK06_RS08885														
operon 323	NZ_CP015225.1	2096643	2100298	+	2	TK06_RS08890	TK06_RS08895														
operon 324	NZ_CP015225.1	2100314	2110247	-	10	TK06_RS08900	TK06_RS08905	TK06_RS08910	TK06_RS08915	TK06_RS08920	TK06_RS08925	TK06_RS08930	TK06_RS08935	TK06_RS08940	TK06_RS08945						
operon 325	NZ_CP015225.1	2113342	2115945	+	2	TK06_RS08960	TK06_RS08965														
operon 326	NZ_CP015225.1	2120365	2122175	+	2	TK06_RS08980	TK06_RS08985														
operon 327	NZ_CP015225.1	2123285	2125882	-	3	TK06_RS08995	TK06_RS09000	TK06_RS09005													
operon 328	NZ_CP015225.1	2129047	2131564	+	3	TK06_RS09020	TK06_RS09025	TK06_RS09030													
operon 329	NZ_CP015225.1	2131715	2136029	+	4	TK06_RS09035	TK06_RS09040	TK06_RS09045	TK06_RS09050												
operon 330	NZ_CP015225.1	2142347	2148782	+	6	TK06_RS09075	TK06_RS09080	TK06_RS09085	TK06_RS09090	TK06_RS09095	TK06_RS09100										
operon 331	NZ_CP015225.1	2148793	2152413	-	3	TK06_RS09105	TK06_RS09110	TK06_RS09115													
operon 332	NZ_CP015225.1	2154302	2159225	-	2	TK06_RS09130	TK06_RS09135														
operon 333	NZ_CP015225.1	2161841	2165930	-	3	TK06_RS09155	TK06_RS09160	TK06_RS09165													
operon 334	NZ_CP015225.1	2166500	2179348	-	12	TK06_RS09170	TK06_RS09175	TK06_RS09180	TK06_RS09185	TK06_RS09190	TK06_RS09195	TK06_RS09200	TK06_RS09205	TK06_RS09210	TK06_RS09215	TK06_RS09220	TK06_RS09225				
operon 335	NZ_CP015225.1	2199730	2203892	+	5	TK06_RS09290	TK06_RS09295	TK06_RS09300	TK06_RS09305	TK06_RS09310											
operon 336	NZ_CP015225.1	2204008	2205595	-	2	TK06_RS09315	TK06_RS09320														
operon 337	NZ_CP015225.1	2205930	2207684	-	2	TK06_RS09325	TK06_RS09330														
operon 338	NZ_CP015225.1	2208101	2209835	+	3	TK06_RS09335	TK06_RS09340	TK06_RS09345													
operon 339	NZ_CP015225.1	2212780	2213719	+	2	TK06_RS09360	TK06_RS09365														
operon 340	NZ_CP015225.1	2217135	2218446	+	3	TK06_RS09385	TK06_RS09390	TK06_RS30710													
operon 341	NZ_CP015225.1	2220727	2222990	-	2	TK06_RS30720	TK06_RS09400														
operon 342	NZ_CP015225.1	2223041	2227007	-	3	TK06_RS09405	TK06_RS09410	TK06_RS30725													
operon 343	NZ_CP015225.1	2229653	2232625	+	2	TK06_RS09420	TK06_RS09425														
operon 344	NZ_CP015225.1	2233439	2234769	-	2	TK06_RS09435	TK06_RS09440														
operon 345	NZ_CP015225.1	2241715	2243548	+	2	TK06_RS09480	TK06_RS09485														
operon 346	NZ_CP015225.1	2247366	2249023	-	2	TK06_RS09505	TK06_RS09510														
operon 347	NZ_CP015225.1	2254396	2258002	-	2	TK06_RS09540	TK06_RS09545														
operon 348	NZ_CP015225.1	2260375	2262706	-	2	TK06_RS09560	TK06_RS09565														
operon 349	NZ_CP015225.1	2270692	2271277	-	2	TK06_RS09605	TK06_RS09610														
operon 350	NZ_CP015225.1	2273106	2274872	-	2	TK06_RS09620	TK06_RS09625														
operon 351	NZ_CP015225.1	2277425	2280185	+	3	TK06_RS09635	TK06_RS09640	TK06_RS09645													
operon 352	NZ_CP015225.1	2281438	2283333	+	2	TK06_RS09655	TK06_RS09660														
operon 353	NZ_CP015225.1	2289767	2292344	-	3	TK06_RS09685	TK06_RS09690	TK06_RS09695													
operon 354	NZ_CP015225.1	2292400	2295623	-	2	TK06_RS09700	TK06_RS09705														
operon 355	NZ_CP015225.1	2300941	2303539	+	2	TK06_RS09725	TK06_RS09730														
operon 356	NZ_CP015225.1	2305671	2308759	+	4	TK06_RS09745	TK06_RS09750	TK06_RS09755	TK06_RS09760												
operon 357	NZ_CP015225.1	2309685	2315413	-	3	TK06_RS09770	TK06_RS09775	TK06_RS09780													
operon 358	NZ_CP015225.1	2320609	2323778	+	3	TK06_RS09810	TK06_RS09815	TK06_RS09820													
operon 359	NZ_CP015225.1	2325953	2327723	-	2	TK06_RS09835	TK06_RS09840														
operon 360	NZ_CP015225.1	2336895	2340397	+	4	TK06_RS09880	TK06_RS09885	TK06_RS09890	TK06_RS09895												
operon 361	NZ_CP015225.1	2340549	2342256	+	3	TK06_RS09900	TK06_RS09905	TK06_RS09910													
operon 362	NZ_CP015225.1	2348101	2353863	+	7	TK06_RS09945	TK06_RS09950	TK06_RS09955	TK06_RS30760	TK06_RS09965	TK06_RS09970	TK06_RS09975									
operon 363	NZ_CP015225.1	2353983	2361568	+	9	TK06_RS09980	TK06_RS09985	TK06_RS09990	TK06_RS30765	TK06_RS09995	TK06_RS10000	TK06_RS10005	TK06_RS10010	TK06_RS10015							
operon 364	NZ_CP015225.1	2363040	2367248	+	4	TK06_RS10030	TK06_RS10035	TK06_RS10040	TK06_RS10045												
operon 365	NZ_CP015225.1	2374751	2376387	-	2	TK06_RS10080	TK06_RS10085														
operon 366	NZ_CP015225.1	2377874	2387697	+	4	TK06_RS10095	TK06_RS30785	TK06_RS10110	TK06_RS10115												
operon 367	NZ_CP015225.1	2390123	2391523	-	2	TK06_RS10130	TK06_RS10135														
operon 368	NZ_CP015225.1	2391641	2393451	-	3	TK06_RS10140	TK06_RS10145	TK06_RS10150													
operon 369	NZ_CP015225.1	2395431	2397331	+	3	TK06_RS10175	TK06_RS10180	TK06_RS10185													
operon 370	NZ_CP015225.1	2398009	2401611	-	3	TK06_RS10190	TK06_RS10195	TK06_RS10200													
operon 371	NZ_CP015225.1	2408977	2412037	-	3	TK06_RS10230	TK06_RS10235	TK06_RS10240													
operon 372	NZ_CP015225.1	2412165	2413368	-	2	TK06_RS10245	TK06_RS10250														
operon 373	NZ_CP015225.1	2417876	2423425	+	4	TK06_RS10275	TK06_RS10280	TK06_RS10285	TK06_RS10290												
operon 374	NZ_CP015225.1	2425377	2426704	-	2	TK06_RS10305	TK06_RS10310														
operon 375	NZ_CP015225.1	2426810	2428884	+	2	TK06_RS10315	TK06_RS10320														
operon 376	NZ_CP015225.1	2429187	2431362	+	2	TK06_RS10325	TK06_RS10330														
operon 377	NZ_CP015225.1	2434800	2437661	+	2	TK06_RS10345	TK06_RS10350														
operon 378	NZ_CP015225.1	2438916	2440939	-	2	TK06_RS10360	TK06_RS10365														
operon 379	NZ_CP015225.1	2441174	2444611	-	5	TK06_RS10370	TK06_RS10375	TK06_RS10380	TK06_RS10385	TK06_RS10390											
operon 380	NZ_CP015225.1	2444933	2448202	-	5	TK06_RS10395	TK06_RS10400	TK06_RS10405	TK06_RS10410	TK06_RS10415											
operon 381	NZ_CP015225.1	2449483	2454324	-	2	TK06_RS10425	TK06_RS10430														
operon 382	NZ_CP015225.1	2455159	2457279	+	4	TK06_RS10435	TK06_RS10440	TK06_RS10445	TK06_RS10450												
operon 383	NZ_CP015225.1	2466318	2468454	+	2	TK06_RS10480	TK06_RS10485														
operon 384	NZ_CP015225.1	2471164	2473809	+	2	TK06_RS10505	TK06_RS10510														
operon 385	NZ_CP015225.1	2475898	2478389	-	2	TK06_RS10530	TK06_RS10535														
operon 386	NZ_CP015225.1	2478665	2485541	-	5	TK06_RS10540	TK06_RS10545	TK06_RS10550	TK06_RS10555	TK06_RS10560											
operon 387	NZ_CP015225.1	2486909	2488694	-	2	TK06_RS10570	TK06_RS10575														
operon 388	NZ_CP015225.1	2496012	2497489	-	2	TK06_RS10600	TK06_RS10605														
operon 389	NZ_CP015225.1	2508111	2510703	+	3	TK06_RS10665	TK06_RS10670	TK06_RS10675													
operon 390	NZ_CP015225.1	2512440	2515152	+	2	TK06_RS10685	TK06_RS10690														
operon 391	NZ_CP015225.1	2515349	2520939	-	2	TK06_RS10695	TK06_RS10700														
operon 392	NZ_CP015225.1	2524229	2528575	+	5	TK06_RS30800	TK06_RS30805	TK06_RS30810	TK06_RS10715	TK06_RS30815											
operon 393	NZ_CP015225.1	2532804	2534508	-	2	TK06_RS10745	TK06_RS10750														
operon 394	NZ_CP015225.1	2545772	2549217	+	4	TK06_RS10800	TK06_RS10805	TK06_RS10810	TK06_RS10815												
operon 395	NZ_CP015225.1	2553078	2554630	-	2	TK06_RS10840	TK06_RS10845														
operon 396	NZ_CP015225.1	2555657	2557794	-	2	TK06_RS10855	TK06_RS10860														
operon 397	NZ_CP015225.1	2563984	2565589	+	2	TK06_RS10900	TK06_RS10905														
operon 398	NZ_CP015225.1	2567107	2573987	+	6	TK06_RS10915	TK06_RS10920	TK06_RS10925	TK06_RS10930	TK06_RS10935	TK06_RS10940										
operon 399	NZ_CP015225.1	2574036	2576694	+	2	TK06_RS10945	TK06_RS10950														
operon 400	NZ_CP015225.1	2578385	2579715	-	2	TK06_RS10965	TK06_RS10970														
operon 401	NZ_CP015225.1	2580015	2585030	+	5	TK06_RS10975	TK06_RS10980	TK06_RS10985	TK06_RS10990	TK06_RS10995											
operon 402	NZ_CP015225.1	2587462	2589031	+	3	TK06_RS11010	TK06_RS11015	TK06_RS11020													
operon 403	NZ_CP015225.1	2592769	2594162	+	2	TK06_RS11040	TK06_RS11045														
operon 404	NZ_CP015225.1	2596712	2602272	+	4	TK06_RS11055	TK06_RS11060	TK06_RS11065	TK06_RS11070												
operon 405	NZ_CP015225.1	2605125	2606740	-	2	TK06_RS11090	TK06_RS11095														
operon 406	NZ_CP015225.1	2606909	2608164	+	2	TK06_RS11100	TK06_RS11105														
operon 407	NZ_CP015225.1	2619496	2621666	+	2	TK06_RS11155	TK06_RS11160														
operon 408	NZ_CP015225.1	2639182	2640209	-	2	TK06_RS11245	TK06_RS11250														
operon 409	NZ_CP015225.1	2649610	2653050	-	2	TK06_RS11300	TK06_RS11305														
operon 410	NZ_CP015225.1	2657788	2658392	+	2	TK06_RS11330	TK06_RS11335														
operon 411	NZ_CP015225.1	2661731	2664551	-	2	TK06_RS11355	TK06_RS11360														
operon 412	NZ_CP015225.1	2665694	2666873	-	2	TK06_RS11370	TK06_RS11375														
operon 413	NZ_CP015225.1	2667136	2668720	+	3	TK06_RS30825	TK06_RS11380	TK06_RS11385													
operon 414	NZ_CP015225.1	2669108	2670053	+	2	TK06_RS11390	TK06_RS11395														
operon 415	NZ_CP015225.1	2674821	2676484	-	2	TK06_RS11420	TK06_RS11425														
operon 416	NZ_CP015225.1	2678806	2680243	-	2	TK06_RS11445	TK06_RS11450														
operon 417	NZ_CP015225.1	2680401	2682436	+	2	TK06_RS11455	TK06_RS11460														
operon 418	NZ_CP015225.1	2683135	2686384	-	3	TK06_RS11465	TK06_RS11470	TK06_RS11475													
operon 419	NZ_CP015225.1	2686479	2687794	+	2	TK06_RS11480	TK06_RS11485														
operon 420	NZ_CP015225.1	2693728	2700459	+	3	TK06_RS11510	TK06_RS11515	TK06_RS11520													
operon 421	NZ_CP015225.1	2702706	2703798	+	2	TK06_RS11535	TK06_RS11540														
operon 422	NZ_CP015225.1	2708042	2711395	-	2	TK06_RS11565	TK06_RS11570														
operon 423	NZ_CP015225.1	2730529	2733732	+	4	TK06_RS11645	TK06_RS11650	TK06_RS11655	TK06_RS11660												
operon 424	NZ_CP015225.1	2734242	2737464	+	4	TK06_RS11665	TK06_RS11670	TK06_RS11675	TK06_RS11680												
operon 425	NZ_CP015225.1	2737612	2738327	+	2	TK06_RS11685	TK06_RS11690														
operon 426	NZ_CP015225.1	2738597	2740563	+	2	TK06_RS11695	TK06_RS11700														
operon 427	NZ_CP015225.1	2740743	2744112	+	3	TK06_RS11705	TK06_RS11710	TK06_RS11715													
operon 428	NZ_CP015225.1	2744233	2747069	+	3	TK06_RS11720	TK06_RS11725	TK06_RS11730													
operon 429	NZ_CP015225.1	2761901	2766051	-	2	TK06_RS11795	TK06_RS11800														
operon 430	NZ_CP015225.1	2766316	2770162	+	2	TK06_RS11805	TK06_RS11810														
operon 431	NZ_CP015225.1	2770317	2772483	+	2	TK06_RS11815	TK06_RS11820														
operon 432	NZ_CP015225.1	2785576	2788253	-	5	TK06_RS11865	TK06_RS11870	TK06_RS11875	TK06_RS11880	TK06_RS11885											
operon 433	NZ_CP015225.1	2788313	2789758	-	2	TK06_RS11890	TK06_RS11895														
operon 434	NZ_CP015225.1	2789878	2791529	-	2	TK06_RS11900	TK06_RS11905														
operon 435	NZ_CP015225.1	2791843	2794529	-	3	TK06_RS11910	TK06_RS11915	TK06_RS30835													
operon 436	NZ_CP015225.1	2794599	2796865	-	2	TK06_RS11925	TK06_RS11930														
operon 437	NZ_CP015225.1	2797341	2800080	-	4	TK06_RS11935	TK06_RS11940	TK06_RS11945	TK06_RS11950												
operon 438	NZ_CP015225.1	2800995	2809167	-	7	TK06_RS11960	TK06_RS11965	TK06_RS11970	TK06_RS11975	TK06_RS11980	TK06_RS11985	TK06_RS11990									
operon 439	NZ_CP015225.1	2809411	2811212	+	2	TK06_RS11995	TK06_RS12000														
operon 440	NZ_CP015225.1	2811583	2814477	+	2	TK06_RS12005	TK06_RS12010														
operon 441	NZ_CP015225.1	2814933	2821183	+	4	TK06_RS12015	TK06_RS12020	TK06_RS12025	TK06_RS12030												
operon 442	NZ_CP015225.1	2822524	2824278	-	3	TK06_RS12040	TK06_RS12045	TK06_RS12050													
operon 443	NZ_CP015225.1	2824342	2825854	-	2	TK06_RS12055	TK06_RS12060														
operon 444	NZ_CP015225.1	2829557	2830601	+	2	TK06_RS30840	TK06_RS12075														
operon 445	NZ_CP015225.1	2832767	2834491	-	2	TK06_RS12090	TK06_RS12095														
operon 446	NZ_CP015225.1	2834832	2836843	-	2	TK06_RS12100	TK06_RS12105														
operon 447	NZ_CP015225.1	2837019	2840358	+	3	TK06_RS12110	TK06_RS12115	TK06_RS12120													
operon 448	NZ_CP015225.1	2855817	2857677	-	2	TK06_RS12145	TK06_RS12150														
operon 449	NZ_CP015225.1	2860579	2863386	+	2	TK06_RS12165	TK06_RS12170														
operon 450	NZ_CP015225.1	2866681	2868485	-	2	TK06_RS12190	TK06_RS12195														
operon 451	NZ_CP015225.1	2869669	2871218	+	2	TK06_RS12205	TK06_RS12210														
operon 452	NZ_CP015225.1	2872835	2874584	-	2	TK06_RS12225	TK06_RS12230														
operon 453	NZ_CP015225.1	2874663	2875562	+	2	TK06_RS12235	TK06_RS12240														
operon 454	NZ_CP015225.1	2876604	2877253	-	2	TK06_RS12250	TK06_RS12255														
operon 455	NZ_CP015225.1	2880721	2881759	+	3	TK06_RS12270	TK06_RS12275	TK06_RS12280													
operon 456	NZ_CP015225.1	2890996	2892365	-	2	TK06_RS12305	TK06_RS12310														
operon 457	NZ_CP015225.1	2894834	2895777	-	2	TK06_RS12320	TK06_RS12325														
operon 458	NZ_CP015225.1	2910033	2911501	+	2	TK06_RS12395	TK06_RS12400														
operon 459	NZ_CP015225.1	2913597	2914468	+	2	TK06_RS12415	TK06_RS12420														
operon 460	NZ_CP015225.1	2915561	2918037	-	3	TK06_RS12430	TK06_RS12435	TK06_RS12440													
operon 461	NZ_CP015225.1	2922960	2926679	+	3	TK06_RS12475	TK06_RS12480	TK06_RS12485													
operon 462	NZ_CP015225.1	2936270	2939684	-	2	TK06_RS12540	TK06_RS12545														
operon 463	NZ_CP015225.1	2940552	2944409	-	3	TK06_RS12555	TK06_RS12560	TK06_RS12565													
operon 464	NZ_CP015225.1	2946682	2948202	-	2	TK06_RS12575	TK06_RS12580														
operon 465	NZ_CP015225.1	2952773	2957369	-	4	TK06_RS30855	TK06_RS12605	TK06_RS12610	TK06_RS12615												
operon 466	NZ_CP015225.1	2960053	2963188	-	3	TK06_RS12625	TK06_RS12630	TK06_RS12635													
operon 467	NZ_CP015225.1	2963455	2965803	-	2	TK06_RS12640	TK06_RS12645														
operon 468	NZ_CP015225.1	2967201	2967748	-	2	TK06_RS12655	TK06_RS12660														
operon 469	NZ_CP015225.1	2970205	2976432	-	5	TK06_RS12675	TK06_RS12680	TK06_RS12685	TK06_RS12690	TK06_RS12695											
operon 470	NZ_CP015225.1	2981025	2983792	+	3	TK06_RS12710	TK06_RS12715	TK06_RS12720													
operon 471	NZ_CP015225.1	2986120	2989427	-	2	TK06_RS12735	TK06_RS12740														
operon 472	NZ_CP015225.1	2989618	2993017	-	3	TK06_RS12745	TK06_RS12750	TK06_RS12755													
operon 473	NZ_CP015225.1	2993286	2994116	-	2	TK06_RS12760	TK06_RS12765														
operon 474	NZ_CP015225.1	3002566	3007357	+	3	TK06_RS12800	TK06_RS12805	TK06_RS12810													
operon 475	NZ_CP015225.1	3012244	3019631	-	10	TK06_RS12840	TK06_RS12845	TK06_RS12850	TK06_RS12855	TK06_RS12860	TK06_RS12865	TK06_RS12870	TK06_RS12875	TK06_RS12880	TK06_RS12885						
operon 476	NZ_CP015225.1	3019831	3021728	+	2	TK06_RS12890	TK06_RS12895														
operon 477	NZ_CP015225.1	3021981	3027522	-	7	TK06_RS12900	TK06_RS12905	TK06_RS12910	TK06_RS12915	TK06_RS12920	TK06_RS12925	TK06_RS12930									
operon 478	NZ_CP015225.1	3027571	3031035	-	3	TK06_RS12935	TK06_RS12940	TK06_RS12945													
operon 479	NZ_CP015225.1	3031203	3032773	-	2	TK06_RS12950	TK06_RS12955														
operon 480	NZ_CP015225.1	3032890	3036380	-	2	TK06_RS12960	TK06_RS12965														
operon 481	NZ_CP015225.1	3036721	3040586	-	6	TK06_RS12970	TK06_RS12975	TK06_RS12980	TK06_RS12985	TK06_RS12990	TK06_RS12995										
operon 482	NZ_CP015225.1	3040659	3042140	-	2	TK06_RS13000	TK06_RS13005														
operon 483	NZ_CP015225.1	3043835	3046228	-	3	TK06_RS13015	TK06_RS13020	TK06_RS13025													
operon 484	NZ_CP015225.1	3046331	3052126	-	6	TK06_RS13030	TK06_RS13035	TK06_RS13040	TK06_RS13045	TK06_RS13050	TK06_RS13055										
operon 485	NZ_CP015225.1	3052327	3054935	-	2	TK06_RS13060	TK06_RS13065														
operon 486	NZ_CP015225.1	3056691	3057394	-	2	TK06_RS13075	TK06_RS13080														
operon 487	NZ_CP015225.1	3057526	3060331	-	3	TK06_RS13085	TK06_RS13090	TK06_RS13095													
operon 488	NZ_CP015225.1	3060581	3062139	-	2	TK06_RS13100	TK06_RS13105														
operon 489	NZ_CP015225.1	3063349	3078053	-	13	TK06_RS13115	TK06_RS13120	TK06_RS13125	TK06_RS13130	TK06_RS13135	TK06_RS13140	TK06_RS13145	TK06_RS13150	TK06_RS13155	TK06_RS13160	TK06_RS13165	TK06_RS13170	TK06_RS13175			
operon 490	NZ_CP015225.1	3081989	3089628	-	6	TK06_RS13185	TK06_RS13190	TK06_RS13195	TK06_RS13200	TK06_RS13205	TK06_RS13210										
operon 491	NZ_CP015225.1	3092736	3095170	+	3	TK06_RS13225	TK06_RS13230	TK06_RS13235													
operon 492	NZ_CP015225.1	3098882	3099793	+	2	TK06_RS13255	TK06_RS13260														
operon 493	NZ_CP015225.1	3110536	3111527	+	2	TK06_RS13305	TK06_RS13310														
